SN,TIMESTAMP,PACKAGE_SIZE,MAX_VALUE,MIN_VALUE,MAT_0,MAT_1,MAT_2,MAT_3,MAT_4,MAT_5,MAT_6,MAT_7,MAT_8,MAT_9,MAT_10,MAT_11,MAT_12,MAT_13,MAT_14,MAT_15,MAT_16,MAT_17,MAT_18,MAT_19,MAT_20,MAT_21,MAT_22,MAT_23,MAT_24,MAT_25,MAT_26,MAT_27,MAT_28,MAT_29,MAT_30,MAT_31,MAT_32,MAT_33,MAT_34,MAT_35,MAT_36,MAT_37,MAT_38,MAT_39,MAT_40,MAT_41,MAT_42,MAT_43,MAT_44,MAT_45,MAT_46,MAT_47,MAT_48,MAT_49,MAT_50,MAT_51,MAT_52,MAT_53,MAT_54,MAT_55,MAT_56,MAT_57,MAT_58,MAT_59,MAT_60,MAT_61,MAT_62,MAT_63,MAT_64,MAT_65,MAT_66,MAT_67,MAT_68,MAT_69,MAT_70,MAT_71,MAT_72,MAT_73,MAT_74,MAT_75,MAT_76,MAT_77,MAT_78,MAT_79,MAT_80,MAT_81,MAT_82,MAT_83,MAT_84,MAT_85,MAT_86,MAT_87,MAT_88,MAT_89,MAT_90,MAT_91,MAT_92,MAT_93,MAT_94,MAT_95
12,2025-05-14 18:59:43.956,96,40,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,0,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,10,28,16,17,9,4,7,0,5,40,25,9,7,10,3,0,0,1,0,0,0,0,0,0
13,2025-05-14 18:59:43.967,96,40,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,0,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,10,28,16,17,9,4,7,0,5,40,25,9,7,10,3,0,0,1,0,0,0,0,0,0
14,2025-05-14 18:59:43.977,96,40,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,0,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,10,28,16,17,9,4,7,0,5,40,25,9,7,10,3,0,0,1,0,0,0,0,0,0
15,2025-05-14 18:59:43.987,96,40,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,0,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,10,28,16,17,9,4,7,0,5,40,25,9,7,10,3,0,0,1,0,0,0,0,0,0
16,2025-05-14 18:59:43.998,96,40,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,0,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,10,28,16,17,9,4,7,0,5,40,25,9,7,10,3,0,0,1,0,0,0,0,0,0
17,2025-05-14 18:59:44.009,96,40,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,0,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,10,28,16,17,9,4,7,0,5,40,25,9,7,10,3,0,0,1,0,0,0,0,0,0
18,2025-05-14 18:59:44.019,96,40,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,0,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,10,28,16,17,9,4,7,0,5,40,25,9,7,10,3,0,0,1,0,0,0,0,0,0
19,2025-05-14 18:59:44.030,96,40,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,0,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,10,28,16,17,9,4,7,0,5,40,25,9,7,10,3,0,0,1,0,0,0,0,0,0
20,2025-05-14 18:59:44.041,96,41,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,0,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,10,28,16,17,9,4,7,0,5,41,25,9,7,10,3,0,0,1,1,0,0,0,0,0
21,2025-05-14 18:59:44.050,96,42,0,0,1,0,1,1,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,0,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,10,28,16,17,9,4,7,0,5,42,25,9,7,10,3,0,0,1,1,0,0,0,0,0
22,2025-05-14 18:59:44.061,96,42,0,0,1,0,1,1,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,0,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,10,28,16,17,9,4,7,0,5,42,25,9,7,10,3,0,0,1,1,0,0,0,0,0
23,2025-05-14 18:59:44.081,96,43,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,0,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,10,28,16,17,9,4,7,0,5,43,25,9,7,10,3,0,0,1,1,0,0,0,0,0
24,2025-05-14 18:59:44.092,96,44,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,1,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,10,29,16,17,9,4,7,0,5,44,25,9,7,10,3,0,0,1,1,0,0,0,0,0
25,2025-05-14 18:59:44.102,96,45,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,1,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,10,30,17,17,9,4,7,0,6,45,25,9,7,10,3,0,0,1,1,0,0,0,0,0
26,2025-05-14 18:59:44.113,96,46,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,1,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,10,32,17,17,9,4,7,0,6,46,25,9,7,10,3,0,0,1,1,0,0,0,0,0
27,2025-05-14 18:59:44.124,96,47,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,1,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,11,33,18,17,9,4,7,0,7,47,26,9,7,10,3,0,0,1,1,0,0,0,0,0
28,2025-05-14 18:59:44.135,96,48,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,1,5,10,12,9,7,6,0,1,13,11,7,6,7,1,0,13,35,18,17,9,4,7,0,8,48,26,9,7,10,3,0,0,1,1,0,0,0,0,0
29,2025-05-14 18:59:44.146,96,49,0,0,1,0,1,0,1,0,0,0,15,7,8,16,9,12,1,6,2,13,0,8,8,5,0,7,13,2,4,6,10,13,0,11,15,12,15,9,9,11,0,9,20,13,12,9,10,9,0,3,6,14,11,7,7,13,0,1,5,10,12,9,7,6,0,3,14,11,7,6,7,1,0,13,36,18,17,9,4,7,0,8,49,27,9,7,10,3,0,0,1,1,0,0,0,0,0
